ゆっくり霊夢 (解),露
ゆっくり霊夢 (解),https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%B7%D0%B0_%D0%9A%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7_(1942%E2%80%941943)
ゆっくり霊夢 (解),英
ゆっくり霊夢 (解),https://en.wikipedia.org/wiki/Battle_of_the_Caucasus
ゆっくり霊夢 (解),独
ゆっくり霊夢 (解),https://de.wikipedia.org/wiki/Nordkaukasische_Operation
ゆっくり霊夢 (解),鉄道網
ゆっくり霊夢 (解),https://www.youtube.com/watch?v=dwiJabX7fco&list=LL&index=48&time=00:21:00
ゆっくり霊夢 (解),アストラハン - キズリャル
ゆっくり霊夢 (解),https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%BB%D0%B8%D0%BD%D0%B8%D1%8F_%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C_%E2%80%94_%D0%9A%D0%B8%D0%B7%D0%BB%D1%8F%D1%80
ゆっくり霊夢 (解),上陸作戦
ゆっくり霊夢 (解),https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%81%D0%B0%D0%BD%D1%82%D0%BD%D1%8B%D0%B5_%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8_%D0%A1%D0%A1%D0%A1%D0%A0_%D0%B2_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B5
ゆっくり霊夢 (解),経過
ゆっくり霊夢 (解),https://www.youtube.com/watch?v=o4bJ8GBcv08
ゆっくり霊夢 (解),「エーデルワイス作戦」
ゆっくり霊夢 (解),　「チホレツク＝スタヴロポリ作戦」「アルマヴィロ＝マイコップ作戦」
ゆっくり霊夢 (解),「モズドク・マルゴベク作戦」「ノヴォロシースク作戦 (1942)」
ゆっくり霊夢 (解),「トゥアプセ作戦」
ゆっくり霊夢 (解),「ナリチク・オルジョニキゼ作戦」
ゆっくり霊夢 (解),今回解説するコーカサスの戦いは
ゆっくり霊夢 (解),スターリングラードの戦いの陰に隠れた変わった戦いだよ
ゆっくり霊夢 (解),4000m級の山々で精鋭部隊が戦闘を繰り広げてると同時に
ゆっくり霊夢 (解),海岸の都市や油田地帯で市街戦が丘陵地帯で戦車戦が繰り広げられたよ
ゆっくり霊夢 (解),独ソ戦はほとんどすべて平地の戦いだからね
ゆっくり霊夢 (解),空を複葉機が飛び回り製油所付近では二戦級戦車が戦車戦を繰り広げたよ
ゆっくり霊夢 (解),山々の合間を雪が降る中飛行するのには複葉機が向いていたよ
ゆっくり霊夢 (解),まんま二級戦線だぁ
ゆっくり霊夢 (解),コーカサスは民族意識が強い地域で
ゆっくり霊夢 (解),ドイツ軍は反ソ連的な住民の協力を考慮に入れていたよ
ゆっくり霊夢 (解),チェチェンの反乱があったものの
ゆっくり霊夢 (解),ソ連の苛烈な姿勢やドイツ軍は連携が不十分だったために
ゆっくり霊夢 (解),戦線にそこまで大きな影響を与えることはなかったよ
ゆっくり霊夢 (解),ドイツ軍は捕虜からコーカサスの現地民で構成された義勇軍を作ったけど
